Asset ID,Asset Name,Type,Description,IP Address,MAC Address,Serial Number,Model Number,Status,Decommissioned,Business Criticality,Impact Radius,Resource Group,Vendor,Manufacturer,Device Contact,Country,Site,Region,Business Time Zone,Tags
f7c74176-91f6-4f24-befc-f25e1b47639d,Device1,Printer,Description of Device1,171.118.113.147,76:ea:a1:7a:2c:b4,SNVGIZBG,ModelBJEI,Active,Yes,Medium,Global,Group5,Dell,Cisco,Contact3,Australia,Datacenter,South,GMT+1,Tag2
d05d390f-c2e5-4bd1-b050-a7173df98b63,Device2,Printer,Description of Device2,74.104.156.174,07:d3:78:62:95:22,SN3V24KG,ModelCHHY,Inactive,No,High,Local,Group5,Juniper,Juniper,Contact5,Canada,Branch Office,North,GMT-5,Tag2
54f59cc3-8637-4f78-9a91-a98fd8af0faa,Device3,Server,Description of Device3,159.67.34.206,25:b2:05:3d:fe:bc,SNEBXNKI,Model885W,Inactive,Yes,High,Local,Group5,Dell,HP,Contact3,Australia,Warehouse,North,GMT-8,Tag2
422a6b54-04bf-4a03-96c3-30412afddb67,Device4,Printer,Description of Device4,229.109.114.7,b3:4b:c8:0b:8c:5c,SNYCNV6A,ModelW6RG,Active,Yes,Medium,Local,Group3,Juniper,IBM,Contact5,Germany,Warehouse,North,GMT+5,Tag3
c4efe2cc-75fa-4f39-96c3-3139b0c610f3,Device5,Server,Description of Device5,95.152.68.174,a0:5c:fa:a0:82:da,SNH0KZOA,ModelJQDQ,Active,Yes,Medium,Global,Group4,IBM,Cisco,Contact5,UK,Branch Office,West,GMT-5,Tag1
f4045ed7-265a-4fc9-a9e0-74ad2bf80e9b,Device6,Server,Description of Device6,124.184.237.96,10:80:3b:b3:c8:fc,SN75A94A,ModelOAYN,Active,Yes,High,Local,Group1,HP,Juniper,Contact5,Germany,Branch Office,West,GMT-8,Tag3
640e90a5-9a5e-45d5-a8c5-59766fa6bf18,Device7,Printer,Description of Device7,138.58.150.114,ba:50:b3:39:54:4e,SNMCQAD4,ModelW512,Active,No,Low,Local,Group2,HP,Cisco,Contact5,Australia,Datacenter,West,GMT-8,Tag1
d7def7ff-2498-449d-a290-b5b33f85e9aa,Device8,Server,Description of Device8,198.73.71.211,51:2c:1b:0b:77:1f,SN8MCILX,ModelQ4XR,Inactive,No,High,Global,Group3,Juniper,IBM,Contact3,USA,HQ,West,GMT-8,Tag2
3f2ec284-2df4-488e-b073-617066a016b7,Device9,Firewall,Description of Device9,142.215.77.222,99:30:a9:c2:c1:c4,SNG938HS,ModelZ964,Active,No,Low,Local,Group4,HP,Dell,Contact3,USA,Branch Office,East,GMT-5,Tag1
e20e43d1-a08c-4b65-bc56-a0e621165fa8,Device10,Switch,Description of Device10,26.85.22.229,6a:ea:23:82:2d:83,SNA4WAPF,ModelEJ6M,Inactive,No,High,Global,Group5,Dell,Dell,Contact1,Canada,HQ,South,GMT-5,Tag1
947036e5-4725-4229-9a58-035cd9ea05c1,Device11,Printer,Description of Device11,57.7.70.232,fe:78:54:71:7a:35,SNUAVHYT,Model06JK,Active,Yes,High,Local,Group3,HP,Dell,Contact5,Australia,Branch Office,North,GMT-8,Tag2
5a9212a6-f4e6-4709-b06f-c97443a0761a,Device12,Router,Description of Device12,39.69.148.193,64:16:fe:e2:4b:c2,SNKHRR1H,ModelSQJF,Active,Yes,High,Global,Group5,Cisco,HP,Contact1,USA,Datacenter,South,GMT-5,Tag1
f8b1faad-c59b-4437-92b4-4a5c312cc4e6,Device13,Router,Description of Device13,138.105.71.30,18:60:d2:69:17:41,SNB6I23Q,ModelHUAF,Active,Yes,High,Global,Group2,Cisco,Juniper,Contact1,UK,Branch Office,East,GMT+1,Tag1
