CI Rel ID,Source Asset ID,Source Asset Name,Source IP Address,Source Port,Source Type,Source Icon,Target Asset ID,Target Asset Name,Target IP Address,Target Port,Target Type,Target Icon,Relationship Type ID,Relationship Type Name,Relationship Color
REL2414,85f126e6-59f9-4064-a2e9-dce414b5041e,Device1,168.57.68.12,62017,Switch,,cdf3b9d9-198c-4e7d-80b0-70f585a66bce,Device978,138.130.244.1,18019,Printer,,4,Physically Connected To,#6F7A4B
REL2419,85f126e6-59f9-4064-a2e9-dce414b5041e,Device1,168.57.68.12,35815,Switch,,38d24461-0ea1-4071-beda-84b5d83794c7,Device2418,233.140.237.131,46251,Server,,5,Physically Connected To,#D84D29
REL5758,85f126e6-59f9-4064-a2e9-dce414b5041e,Device1,168.57.68.12,12436,Switch,,ec91ea92-f531-4036-8ce7-012c38fcb4c3,Device3668,140.11.96.3,23808,Server,,2,Virtualized On,#D45BB7
REL6767,85f126e6-59f9-4064-a2e9-dce414b5041e,Device1,168.57.68.12,50590,Switch,,62d50638-edce-4711-b38d-c3e2c345fdb0,Device1722,202.255.150.195,24406,Server,,2,Physically Connected To,#60E1DB
REL2344,1c6e4812-2a8e-4672-b6e7-1ee6074e422c,Device2,133.119.188.247,14727,Switch,,59986e11-41d3-4c35-8340-03bf9fde9905,Device3560,40.111.242.53,21869,Switch,,1,Owns,#462431
REL3133,a01991c9-27c8-4878-9962-b4e396e76ef3,Device3,190.109.44.207,1213,Server,,73204371-c0d3-4391-b0f3-fa2cc2516af5,Device3110,27.30.242.113,63150,Firewall,,4,Physically Connected To,#347E39
REL2269,a01991c9-27c8-4878-9962-b4e396e76ef3,Device3,190.109.44.207,14957,Server,,e3402292-3775-40f1-a7f9-cc0a5159877e,Device2602,80.212.222.210,12569,Router,,3,Connected To,#8F73B6
REL2193,a01991c9-27c8-4878-9962-b4e396e76ef3,Device3,190.109.44.207,11096,Server,,418dbedd-4c69-4f0c-b079-02829c922fd5,Device1641,141.73.204.206,9517,Printer,,1,Virtualized On,#F10B57
REL5966,a01991c9-27c8-4878-9962-b4e396e76ef3,Device3,190.109.44.207,10167,Server,,ab966154-d766-4936-8aa7-98cd559d030f,Device3775,109.247.59.180,44462,Printer,,4,Owns,#08EA06
REL7475,1c28bf0a-38fa-47df-a71b-a62d14ea8a86,Device4,94.243.247.209,12170,Server,,a4fa16b4-73b9-4483-9674-191293a856a6,Device2478,138.96.204.145,48681,Router,,2,Connected To,#88C36F
REL6667,0acf966e-f32e-4d8d-9002-a090012cada4,Device5,26.185.148.135,53735,Router,,cd752d50-41fd-4646-b4da-b123540948a0,Device1531,117.223.100.49,19989,Router,,3,Hosted On,#323A3B
