Asset ID,Asset Name,Type,Description,IP Address,MAC Address,Serial Number,Model Number,Status,Decommissioned,Business Criticality,Impact Radius,Resource Group,Vendor,Manufacturer,Device Contact,Country,Site,Region,Business Time Zone,Tags
85f126e6-59f9-4064-a2e9-dce414b5041e,Device1,Switch,Description of Device1,168.57.68.12,c5:37:da:b9:64:51,SNY6E0B3,ModelY77E,Inactive,No,High,Local,Group1,IBM,Dell,Contact1,Germany,Branch Office,North,GMT-5,Tag2
1c6e4812-2a8e-4672-b6e7-1ee6074e422c,Device2,Switch,Description of Device2,133.119.188.247,1e:b1:94:58:60:ac,SNQYM7W2,ModelM3R2,Active,Yes,Low,Local,Group2,Dell,HP,Contact5,USA,Warehouse,North,GMT+5,Tag3
a01991c9-27c8-4878-9962-b4e396e76ef3,Device3,Server,Description of Device3,190.109.44.207,c0:83:df:13:04:ed,SNMG3DDT,ModelOYEZ,Active,No,High,Global,Group2,Juniper,Dell,Contact2,Canada,Branch Office,North,GMT+5,Tag1
1c28bf0a-38fa-47df-a71b-a62d14ea8a86,Device4,Server,Description of Device4,94.243.247.209,8e:71:f4:fa:c9:83,SNU0Z7XD,Model5OMF,Inactive,Yes,High,Local,Group2,Cisco,Cisco,Contact4,Australia,HQ,East,GMT+5,Tag2
0acf966e-f32e-4d8d-9002-a090012cada4,Device5,Router,Description of Device5,26.185.148.135,88:e9:86:b1:3d:e6,SNJQ4GCG,ModelJN1Z,Inactive,Yes,Low,Local,Group3,Juniper,Juniper,Contact1,Canada,Datacenter,South,GMT-5,Tag3
3f99142f-ea25-4628-8cfa-8cad474236bf,Device6,Printer,Description of Device6,242.14.201.236,af:0c:02:63:1f:55,SNSP90KQ,ModelD4NH,Active,No,Low,Global,Group4,Dell,HP,Contact2,Canada,Datacenter,South,GMT+1,Tag1
4941cd3b-e7da-40e1-afc7-32c04ee8748e,Device7,Router,Description of Device7,157.21.92.133,3b:ae:bd:72:19:d6,SNY0XETR,ModelATYF,Active,Yes,High,Local,Group5,HP,Cisco,Contact4,UK,Branch Office,East,GMT+1,Tag3
97a9cf7a-2bd4-4493-8d9e-fa98e75e0426,Device8,Router,Description of Device8,186.181.131.157,1f:00:0f:b1:22:c7,SNBS1SOL,ModelL0D9,Active,No,Low,Local,Group4,Juniper,Juniper,Contact5,USA,HQ,North,GMT-5,Tag2
ff1ca290-ad60-46ec-9f78-dbe80b633c20,Device9,Switch,Description of Device9,40.37.149.236,2a:cd:ec:99:20:b8,SN7GTY8J,ModelCU7T,Active,Yes,High,Local,Group5,IBM,Dell,Contact3,UK,Warehouse,South,GMT+5,Tag3
5ae8bdd2-8113-465b-a485-41e7f0978929,Device10,Printer,Description of Device10,188.145.175.123,5e:dc:3e:41:e2:17,SN7P0X0O,Model2VK7,Inactive,Yes,Medium,Global,Group2,Cisco,HP,Contact1,UK,Branch Office,West,GMT+5,Tag3
5bda4605-0c57-4208-b364-9e574aea8078,Device11,Router,Description of Device11,179.123.119.247,8f:e7:58:1c:2e:c5,SNCMRW5I,ModelI2RH,Active,No,Low,Global,Group4,IBM,Dell,Contact2,USA,Datacenter,West,GMT-5,Tag3
51cb7876-4607-4617-ab42-cb72b390c5f0,Device12,Printer,Description of Device12,120.220.4.249,46:1f:26:df:d5:af,SN37G41C,Model7Y7D,Inactive,Yes,Low,Local,Group3,Dell,Juniper,Contact1,Germany,Warehouse,North,GMT-8,Tag1
f49ed065-6dd4-4771-8965-8b9028d695a1,Device13,Switch,Description of Device13,191.246.1.174,ef:d6:eb:fe:9a:84,SNW8PYKE,ModelJ3T2,Active,No,Low,Global,Group3,IBM,Cisco,Contact3,USA,Datacenter,West,GMT-8,Tag3
1c26c9fa-40e9-46d2-8ce2-839d3e28c24f,Device14,Printer,Description of Device14,15.239.211.19,0a:1e:34:91:6a:a1,SNL9TZ9A,Model1SNV,Inactive,Yes,Medium,Local,Group1,Cisco,HP,Contact3,Australia,HQ,West,GMT-8,Tag2
1f6b5554-3573-4280-b8ec-cd34cab8c4f1,Device15,Server,Description of Device15,28.70.80.160,22:2b:cc:8d:03:ed,SN7A18Q4,Model2TD9,Inactive,Yes,Low,Local,Group3,HP,Dell,Contact4,USA,Datacenter,West,GMT+5,Tag1
e607aab8-8079-43ae-bb46-8719ab083588,Device16,Switch,Description of Device16,54.223.42.86,cc:27:77:43:97:7f,SNSG9PSP,ModelYP7B,Active,No,High,Global,Group4,Juniper,Cisco,Contact1,USA,Warehouse,East,GMT+5,Tag2
5448db1b-6725-4c26-9d30-aa361cbfa700,Device17,Router,Description of Device17,97.111.200.196,cd:ca:a6:a7:a8:94,SNBZ6TK7,Model3HY8,Active,Yes,Medium,Global,Group2,HP,Dell,Contact2,Australia,Datacenter,North,GMT+5,Tag1
40462e6a-6aae-4db7-8294-6993aa3f1877,Device18,Switch,Description of Device18,53.151.186.194,7f:c7:1f:4a:dc:5e,SNO2QCJ2,ModelKNS3,Inactive,No,Low,Local,Group1,Juniper,HP,Contact1,Germany,Branch Office,South,GMT+5,Tag3
3bcb77a1-6c03-4d93-b5bd-8c001aa9d1cc,Device19,Printer,Description of Device19,66.174.244.235,b4:fd:2c:d8:02:26,SNUSWCXQ,ModelO2FW,Inactive,No,Low,Global,Group5,IBM,Juniper,Contact3,Germany,Datacenter,South,GMT-8,Tag3
1f1d0263-0c55-4539-9750-0457aa9d7243,Device20,Printer,Description of Device20,55.164.220.122,c1:32:59:32:d1:42,SN317EE8,ModelHOW6,Inactive,Yes,High,Local,Group5,Juniper,Dell,Contact3,Canada,Datacenter,North,GMT-5,Tag2
ba2a56c0-2125-4de2-8205-4a229bee4436,Device21,Server,Description of Device21,167.51.127.181,e0:ce:3c:7f:ab:54,SNUOX5CH,ModelASNY,Active,Yes,Medium,Local,Group2,Juniper,Cisco,Contact3,USA,Warehouse,East,GMT+5,Tag2
5a9bcad9-1017-4199-892f-fa419a0e0eac,Device22,Router,Description of Device22,6.10.169.192,eb:b9:aa:df:91:b1,SNTWK6O0,ModelFM72,Active,Yes,High,Global,Group4,Cisco,Dell,Contact3,USA,HQ,South,GMT+1,Tag3
604ff1ca-9c50-4eb2-97bc-636a552919ca,Device23,Router,Description of Device23,127.197.38.71,0f:90:12:03:f6:c1,SNJEPRGV,ModelW1FI,Active,Yes,Low,Local,Group5,HP,Cisco,Contact1,UK,Branch Office,East,GMT-8,Tag1
b13836e2-8929-4b9e-b0c8-a36b7e54bd55,Device24,Firewall,Description of Device24,18.190.128.58,77:e5:ba:6d:61:cc,SNS2HH4C,Model24RX,Inactive,No,Low,Global,Group2,Dell,Cisco,Contact3,Australia,Branch Office,West,GMT-5,Tag3
2509e954-1141-4279-b299-05a6a5f9dee9,Device25,Firewall,Description of Device25,94.164.35.195,de:cd:73:00:9a:c2,SN64BD6B,ModelVZXH,Active,No,Medium,Local,Group2,Dell,IBM,Contact4,Australia,Branch Office,West,GMT+5,Tag3
da489c30-4b65-4a63-aa57-ffe9b4cf2eef,Device26,Switch,Description of Device26,175.175.18.33,99:1f:9e:88:c0:e6,SNXAKPKS,ModelIZ64,Active,No,Low,Local,Group2,HP,Dell,Contact3,Australia,Branch Office,West,GMT-5,Tag1
3b790c85-c6b4-434a-9497-bf9b655fcaf0,Device27,Server,Description of Device27,167.160.135.167,fd:b8:8a:33:52:42,SNWDPJIA,ModelC189,Inactive,Yes,Low,Global,Group5,IBM,IBM,Contact3,Germany,Warehouse,East,GMT+5,Tag1
6115f8c2-0575-4f83-93cd-08bd28a6c62a,Device28,Switch,Description of Device28,137.41.221.116,f8:cd:40:52:a4:87,SN9O1RE2,ModelFMDR,Inactive,No,Low,Local,Group5,Dell,Dell,Contact3,Australia,Branch Office,South,GMT-5,Tag1
88633a33-3ae9-4abd-9776-5ae97796607f,Device29,Printer,Description of Device29,97.100.217.161,2e:02:d2:44:04:d9,SN278LUY,ModelBM8J,Inactive,Yes,Medium,Local,Group5,IBM,HP,Contact5,UK,HQ,South,GMT+1,Tag3
fc33ea6f-a046-4cf1-ad7b-8fcd02c65fe2,Device30,Switch,Description of Device30,133.201.164.18,5a:fc:2a:a7:65:c3,SN2ZIQQW,ModelC7W5,Inactive,Yes,Medium,Global,Group3,Dell,Juniper,Contact3,UK,Branch Office,East,GMT-8,Tag3
a1214c38-dc7c-49c9-9557-22fd51ce273f,Device31,Server,Description of Device31,140.24.241.55,72:b3:cd:ca:33:3c,SNB3WMZE,ModelD978,Inactive,No,Low,Local,Group4,Juniper,IBM,Contact5,Australia,Datacenter,South,GMT+1,Tag3
3047a2da-e7d1-43d0-b86e-274b32c08cad,Device32,Server,Description of Device32,214.19.230.67,e2:35:86:1c:a1:0b,SN6A5PKO,ModelKQ57,Inactive,Yes,Medium,Global,Group5,Juniper,Cisco,Contact3,USA,Branch Office,South,GMT-5,Tag2
071ff181-a4f2-4320-b286-736b2f59d705,Device33,Firewall,Description of Device33,194.91.212.45,1a:70:9c:95:cd:65,SNUXT4UR,Model2GTK,Inactive,Yes,High,Global,Group5,Dell,IBM,Contact5,Australia,Datacenter,East,GMT-5,Tag3
1ce658c6-88c2-4e6b-8a72-aec77843701b,Device34,Server,Description of Device34,80.46.148.73,f7:e5:26:9f:c8:ed,SNCJL67X,Model198I,Inactive,No,Low,Local,Group5,Juniper,Cisco,Contact1,USA,Warehouse,South,GMT+5,Tag1
2587dff9-c90f-4af9-a31f-a282473b1c53,Device35,Switch,Description of Device35,146.94.57.218,87:76:f8:7c:38:cb,SN54RYW6,ModelMZ98,Inactive,No,Medium,Local,Group4,HP,Dell,Contact2,Australia,Datacenter,West,GMT+5,Tag1
f2286c9b-deef-4310-9691-d38090d53987,Device36,Router,Description of Device36,218.102.47.144,10:d9:6b:37:f4:ce,SNDOOVOU,ModelAJ5C,Inactive,No,Low,Local,Group1,IBM,Juniper,Contact4,Canada,Branch Office,East,GMT-5,Tag1
c735a8f2-c48b-4e12-af50-c196f12e8be5,Device37,Firewall,Description of Device37,201.192.114.237,b1:bf:c6:74:11:31,SNT52V8U,ModelVAJ5,Inactive,Yes,High,Local,Group4,IBM,HP,Contact1,Germany,HQ,West,GMT+5,Tag1
235db120-352a-4b5d-b8fc-b74e4b7ab365,Device38,Switch,Description of Device38,108.191.246.180,66:07:03:1f:d3:e1,SN0FZP9N,ModelR1RP,Active,Yes,Low,Global,Group2,HP,Dell,Contact3,Germany,HQ,South,GMT+1,Tag3
fa10bedd-f473-45a8-9a0a-9a0fcb42c5d8,Device39,Printer,Description of Device39,99.11.77.22,be:2f:12:c2:d3:2c,SNHCK7YF,Model0HXS,Active,Yes,High,Global,Group3,HP,Juniper,Contact2,Germany,Branch Office,South,GMT+5,Tag1
2db03317-cd48-43eb-b6cc-a40e4b29dbf8,Device40,Firewall,Description of Device40,165.91.40.31,e1:76:13:1d:ff:19,SNLLP00O,ModelD938,Active,No,Low,Local,Group4,HP,IBM,Contact2,USA,Warehouse,East,GMT-5,Tag1
8010c962-314b-4eb4-ac78-da2487a18ea1,Device41,Router,Description of Device41,135.3.160.25,6e:31:f6:02:24:4d,SNZH3MH8,ModelP8UG,Active,No,Medium,Global,Group4,IBM,Cisco,Contact1,Australia,HQ,South,GMT+5,Tag2
b1722966-2a36-45d1-9611-d2912950463d,Device42,Router,Description of Device42,94.247.19.123,9c:83:1f:22:0c:d2,SNHGP5S4,ModelLMH2,Active,No,Medium,Local,Group4,Dell,HP,Contact2,Germany,Warehouse,North,GMT+1,Tag1
51be2344-0817-44d7-9ef1-0c738bc952b9,Device43,Firewall,Description of Device43,176.115.168.67,31:26:5a:5f:6a:c3,SNLMQTWY,ModelF9TG,Inactive,No,Medium,Local,Group3,Cisco,Dell,Contact3,Canada,Warehouse,East,GMT-8,Tag3
d98f4fa1-4a83-434f-882f-f1a4200fc5ca,Device44,Server,Description of Device44,172.158.243.79,a8:6c:da:db:29:e7,SNIHET3B,ModelHYKJ,Inactive,Yes,Low,Global,Group5,Juniper,Cisco,Contact4,Germany,Datacenter,North,GMT-8,Tag2
e88e00dd-6f2a-4f2b-b917-c3a7a00f861f,Device45,Switch,Description of Device45,186.243.213.210,e2:01:6d:64:37:97,SNT649US,Model1HRE,Inactive,Yes,Medium,Global,Group4,IBM,Dell,Contact4,Canada,HQ,South,GMT+1,Tag1
